customer_id,age,gender,region,member_rank,registration_date
C0158,46,女性,札幌,シルバー,2025-02-14
C0159,55,男性,横浜,ブロンズ,2024-09-15
C0160,40,男性,広島,ゴールド,2024-01-02
C0161,62,女性,広島,ブロンズ,2025-06-14
C0162,43,女性,横浜,ゴールド,2024-07-27
C0163,37,男性,札幌,シルバー,2025-05-11
C0164,27,男性,福岡,ゴールド,2024-11-14
C0165,55,男性,広島,ブロンズ,2024-04-26
C0166,49,男性,名古屋,シルバー,2024-10-25
C0167,52,女性,広島,ゴールド,2025-04-28
C0168,35,女性,名古屋,ブロンズ,2025-09-05
C0169,52,男性,大阪,ブロンズ,2025-02-28
C0170,41,女性,東京,ブロンズ,2024-11-01
C0171,57,女性,名古屋,シルバー,2025-05-10
C0172,42,女性,広島,シルバー,2024-11-25
C0173,32,男性,広島,ブロンズ,2025-02-24
C0174,22,女性,横浜,ゴールド,2025-01-25
C0175,44,男性,横浜,プラチナ,2024-05-09
C0176,52,女性,大阪,ゴールド,2025-03-26
C0177,26,女性,東京,ゴールド,2025-02-23
C0178,61,男性,大阪,シルバー,2024-09-28
C0179,41,女性,大阪,ゴールド,2025-11-21
C0180,54,女性,仙台,シルバー,2025-05-14
C0181,54,男性,大阪,ブロンズ,2025-12-01
C0182,38,男性,大阪,シルバー,2024-04-10
C0183,60,男性,横浜,ブロンズ,2024-11-02
C0184,21,男性,仙台,ゴールド,2024-10-27
C0185,42,女性,広島,ブロンズ,2025-06-27
C0186,46,男性,名古屋,ブロンズ,2025-09-16
C0187,44,男性,横浜,プラチナ,2024-05-26
C0188,34,女性,札幌,シルバー,2025-11-13
C0189,20,女性,札幌,シルバー,2024-06-10
C0190,24,女性,仙台,プラチナ,2024-11-02
C0191,60,女性,札幌,シルバー,2024-11-05
C0192,32,女性,横浜,ブロンズ,2025-01-25
C0193,56,女性,札幌,プラチナ,2024-10-29
C0194,21,女性,札幌,ブロンズ,2024-02-20
C0195,58,女性,札幌,ゴールド,2024-08-23
C0196,58,女性,福岡,シルバー,2025-09-27
C0197,36,男性,大阪,プラチナ,2025-10-23
C0198,22,女性,横浜,ブロンズ,2025-01-08
C0199,28,男性,札幌,ブロンズ,2025-03-01
C0200,31,男性,名古屋,ゴールド,2025-01-09
