date,product_id,category,amount,quantity,region,customer_id
2025-12-28,P031,雑貨,3920,4,東京,C0021
2025-01-10,P017,家電,3960,2,名古屋,C0141
2025-11-08,P034,ファッション,79200,4,大阪,C0199
2025-05-28,P016,ガジェット,14940,3,大阪,C0013
2025-05-03,P027,食品,17400,5,横浜,C0017
2025-02-26,P032,ガジェット,19900,5,東京,C0162
2025-09-21,P037,スポーツ,15960,2,名古屋,C0075
2025-08-08,P001,家電,39900,5,仙台,C0062
2025-10-20,P027,食品,6960,2,大阪,C0135
2025-07-04,P005,スポーツ,49000,5,東京,C0100
2025-08-29,P003,食品,9920,4,仙台,C0065
2025-01-09,P023,雑貨,2980,1,仙台,C0062
2025-12-03,P041,家電,1280,1,仙台,C0035
2025-01-23,P023,雑貨,14900,5,仙台,C0165
2025-03-31,P050,ファッション,11920,4,横浜,C0162
2025-04-04,P009,家電,3480,1,横浜,C0010
2025-05-31,P013,スポーツ,980,1,福岡,C0011
2025-06-11,P020,書籍,4900,5,広島,C0140
2025-08-31,P017,家電,1980,1,福岡,C0074
2025-07-02,P050,ファッション,2980,1,仙台,C0070
2025-03-05,P024,ガジェット,6320,4,広島,C0191
2025-08-14,P025,家電,38400,3,名古屋,C0128
2025-12-21,P032,ガジェット,11940,3,札幌,C0022
2025-08-06,P006,美容,31920,4,名古屋,C0140
2025-05-31,P021,スポーツ,12800,1,大阪,C0084
2025-12-05,P019,食品,38400,3,横浜,C0155
2025-08-07,P011,食品,7920,4,仙台,C0115
2025-01-22,P047,雑貨,7440,3,広島,C0071
2025-11-24,P004,書籍,1980,1,広島,C0094
2025-09-20,P048,ガジェット,15960,2,東京,C0037
2025-11-08,P044,書籍,5120,4,東京,C0033
2025-02-04,P016,ガジェット,14940,3,仙台,C0099
2025-10-18,P003,食品,12400,5,名古屋,C0174
2025-08-19,P024,ガジェット,4740,3,横浜,C0196
2025-02-09,P037,スポーツ,15960,2,仙台,C0102
2025-06-10,P042,ファッション,23940,3,福岡,C0030
2025-01-14,P048,ガジェット,15960,2,横浜,C0133
2025-07-18,P036,書籍,2480,1,札幌,C0199
2025-05-14,P046,美容,5120,4,福岡,C0157
2025-05-27,P045,スポーツ,7920,4,福岡,C0032
2025-03-11,P005,スポーツ,39200,4,名古屋,C0183
2025-08-16,P006,美容,23940,3,仙台,C0182
2025-02-03,P036,書籍,12400,5,札幌,C0077
2025-03-22,P046,美容,2560,2,仙台,C0131
2025-04-25,P008,ガジェット,2560,2,名古屋,C0061
2025-09-10,P002,ファッション,2940,3,仙台,C0120
2025-10-10,P009,家電,17400,5,大阪,C0017
2025-06-08,P026,ファッション,5120,4,広島,C0197
2025-07-29,P037,スポーツ,7980,1,名古屋,C0082
2025-11-25,P005,スポーツ,39200,4,横浜,C0175
2025-09-22,P023,雑貨,5960,2,名古屋,C0197
2025-03-08,P028,書籍,14900,5,東京,C0032
2025-09-23,P010,ファッション,2940,3,名古屋,C0042
2025-06-15,P046,美容,2560,2,仙台,C0133
2025-05-26,P006,美容,23940,3,福岡,C0163
2025-10-10,P018,ファッション,11960,2,札幌,C0158
2025-10-01,P006,美容,39900,5,名古屋,C0152
2025-10-25,P010,ファッション,1960,2,仙台,C0145
2025-01-22,P002,ファッション,980,1,東京,C0165
2025-10-23,P017,家電,3960,2,広島,C0159
2025-11-24,P002,ファッション,3920,4,札幌,C0165
2025-06-04,P031,雑貨,1960,2,広島,C0077
2025-08-21,P005,スポーツ,9800,1,名古屋,C0113
2025-08-01,P031,雑貨,3920,4,福岡,C0088
2025-11-07,P010,ファッション,2940,3,仙台,C0188
2025-06-26,P026,ファッション,2560,2,仙台,C0132
2025-10-15,P007,雑貨,59400,3,福岡,C0120
2025-03-04,P018,ファッション,23920,4,福岡,C0037
2025-02-19,P004,書籍,5940,3,広島,C0158
2025-08-03,P016,ガジェット,9960,2,仙台,C0148
2025-06-10,P013,スポーツ,1960,2,横浜,C0132
2025-08-28,P032,ガジェット,11940,3,横浜,C0006
2025-02-16,P026,ファッション,6400,5,横浜,C0062
2025-04-21,P038,美容,59400,3,東京,C0013
2025-05-25,P032,ガジェット,19900,5,横浜,C0074
2025-10-02,P001,家電,7980,1,広島,C0035
2025-05-16,P047,雑貨,7440,3,広島,C0094
2025-01-24,P026,ファッション,1280,1,福岡,C0093
2025-10-11,P019,食品,12800,1,広島,C0130
2025-08-19,P049,家電,14900,5,札幌,C0160
2025-12-15,P040,ガジェット,1980,1,名古屋,C0025
2025-07-21,P024,ガジェット,4740,3,仙台,C0194
2025-03-15,P013,スポーツ,4900,5,広島,C0129
2025-01-21,P003,食品,2480,1,名古屋,C0183
2025-06-20,P031,雑貨,4900,5,横浜,C0039
2025-11-07,P033,家電,2560,2,仙台,C0157
2025-06-13,P011,食品,7920,4,札幌,C0152
2025-06-22,P033,家電,6400,5,横浜,C0182
2025-10-16,P020,書籍,3920,4,東京,C0095
2025-06-19,P044,書籍,1280,1,広島,C0150
2025-06-07,P047,雑貨,2480,1,横浜,C0068
2025-12-02,P050,ファッション,14900,5,福岡,C0185
2025-01-27,P038,美容,79200,4,名古屋,C0135
2025-11-19,P047,雑貨,12400,5,広島,C0038
2025-12-15,P016,ガジェット,4980,1,大阪,C0049
2025-01-10,P029,スポーツ,8940,3,広島,C0039
2025-07-31,P045,スポーツ,3960,2,広島,C0129
2025-11-10,P031,雑貨,980,1,名古屋,C0133
2025-04-17,P036,書籍,7440,3,横浜,C0135
2025-07-12,P021,スポーツ,25600,2,横浜,C0137
2025-06-25,P035,食品,3840,3,札幌,C0157
2025-09-05,P013,スポーツ,1960,2,札幌,C0143
2025-06-02,P015,雑貨,23940,3,札幌,C0181
2025-04-17,P045,スポーツ,7920,4,仙台,C0123
2025-06-28,P036,書籍,7440,3,札幌,C0032
2025-10-21,P044,書籍,6400,5,広島,C0102
2025-06-26,P050,ファッション,5960,2,札幌,C0011
2025-05-28,P046,美容,1280,1,仙台,C0114
2025-12-02,P017,家電,7920,4,福岡,C0052
2025-10-03,P018,ファッション,29900,5,札幌,C0036
2025-02-25,P040,ガジェット,9900,5,福岡,C0063
2025-01-26,P043,食品,64000,5,福岡,C0164
2025-04-30,P004,書籍,1980,1,広島,C0085
2025-08-30,P007,雑貨,39600,2,東京,C0141
2025-03-22,P027,食品,13920,4,横浜,C0167
2025-04-13,P049,家電,8940,3,仙台,C0074
2025-11-27,P004,書籍,1980,1,福岡,C0137
2025-01-20,P012,書籍,19920,4,名古屋,C0010
2025-07-23,P032,ガジェット,7960,2,札幌,C0010
2025-01-05,P020,書籍,4900,5,大阪,C0086
2025-05-26,P030,美容,12400,5,横浜,C0035
2025-09-16,P030,美容,7440,3,福岡,C0029
2025-06-19,P011,食品,7920,4,札幌,C0184
2025-04-06,P001,家電,23940,3,札幌,C0146
2025-12-12,P049,家電,5960,2,名古屋,C0157
2025-11-24,P026,ファッション,5120,4,仙台,C0023
2025-07-25,P043,食品,12800,1,名古屋,C0036
2025-09-02,P021,スポーツ,25600,2,東京,C0067
2025-07-16,P016,ガジェット,19920,4,札幌,C0085
2025-06-04,P038,美容,99000,5,東京,C0067
2025-12-01,P024,ガジェット,3160,2,東京,C0171
2025-03-02,P030,美容,7440,3,名古屋,C0104
2025-12-18,P033,家電,3840,3,大阪,C0164
2025-06-01,P024,ガジェット,7900,5,福岡,C0057
2025-03-10,P031,雑貨,1960,2,横浜,C0192
2025-11-07,P024,ガジェット,6320,4,横浜,C0194
2025-10-03,P043,食品,25600,2,福岡,C0175
2025-11-02,P006,美容,39900,5,横浜,C0136
2025-12-27,P024,ガジェット,1580,1,大阪,C0016
2025-10-08,P033,家電,2560,2,名古屋,C0043
2025-06-17,P034,ファッション,79200,4,大阪,C0175
2025-04-16,P046,美容,6400,5,横浜,C0024
2025-09-19,P029,スポーツ,2980,1,横浜,C0034
2025-09-20,P027,食品,13920,4,東京,C0144
2025-08-25,P044,書籍,3840,3,東京,C0102
2025-05-11,P001,家電,15960,2,大阪,C0012
2025-08-05,P023,雑貨,2980,1,東京,C0018
2025-08-30,P003,食品,7440,3,広島,C0047
2025-03-11,P050,ファッション,11920,4,仙台,C0098
2025-08-18,P025,家電,51200,4,大阪,C0175
2025-12-05,P035,食品,2560,2,仙台,C0031
2025-04-02,P035,食品,5120,4,名古屋,C0187
2025-04-25,P001,家電,7980,1,札幌,C0119
2025-12-11,P047,雑貨,12400,5,広島,C0137
2025-07-14,P015,雑貨,15960,2,横浜,C0089
2025-03-21,P018,ファッション,11960,2,大阪,C0009
2025-12-05,P027,食品,17400,5,東京,C0062
2025-04-16,P005,スポーツ,9800,1,東京,C0115
2025-11-03,P044,書籍,1280,1,福岡,C0190
2025-01-23,P026,ファッション,5120,4,福岡,C0139
2025-04-22,P049,家電,2980,1,名古屋,C0129
2025-05-29,P015,雑貨,39900,5,仙台,C0148
2025-11-03,P050,ファッション,8940,3,福岡,C0078
2025-03-15,P043,食品,64000,5,福岡,C0106
2025-06-03,P018,ファッション,5980,1,名古屋,C0161
2025-12-14,P028,書籍,14900,5,横浜,C0013
2025-06-26,P042,ファッション,31920,4,仙台,C0179
2025-08-02,P027,食品,6960,2,札幌,C0097
2025-04-05,P049,家電,14900,5,横浜,C0062
2025-04-26,P020,書籍,1960,2,横浜,C0015
2025-10-15,P027,食品,13920,4,名古屋,C0100
2025-05-05,P017,家電,3960,2,仙台,C0166
2025-02-10,P029,スポーツ,8940,3,大阪,C0138
2025-04-08,P004,書籍,5940,3,広島,C0173
2025-11-06,P039,雑貨,2980,1,大阪,C0049
2025-10-28,P047,雑貨,12400,5,福岡,C0123
2025-04-17,P022,美容,29400,3,東京,C0055
2025-04-08,P048,ガジェット,7980,1,横浜,C0063
2025-12-23,P039,雑貨,5960,2,広島,C0062
2025-10-10,P021,スポーツ,38400,3,広島,C0120
2025-10-01,P042,ファッション,23940,3,札幌,C0067
2025-07-04,P033,家電,5120,4,横浜,C0026
2025-08-29,P049,家電,8940,3,福岡,C0095
2025-06-10,P027,食品,3480,1,福岡,C0190
2025-03-16,P002,ファッション,2940,3,広島,C0076
2025-03-20,P013,スポーツ,2940,3,福岡,C0098
2025-10-19,P016,ガジェット,19920,4,仙台,C0066
2025-09-08,P047,雑貨,9920,4,横浜,C0044
2025-06-30,P011,食品,3960,2,横浜,C0048
2025-10-05,P042,ファッション,7980,1,東京,C0020
2025-12-09,P004,書籍,1980,1,広島,C0036
2025-11-19,P015,雑貨,7980,1,名古屋,C0003
2025-04-22,P033,家電,5120,4,仙台,C0016
2025-11-13,P041,家電,6400,5,横浜,C0169
2025-09-07,P002,ファッション,980,1,広島,C0004
2025-01-09,P034,ファッション,59400,3,札幌,C0005
2025-09-15,P045,スポーツ,7920,4,名古屋,C0028
2025-02-19,P034,ファッション,39600,2,福岡,C0050
2025-11-14,P034,ファッション,59400,3,仙台,C0069
2025-07-23,P006,美容,23940,3,広島,C0118
2025-10-17,P016,ガジェット,9960,2,札幌,C0176
2025-02-11,P042,ファッション,7980,1,大阪,C0104
2025-07-14,P025,家電,64000,5,横浜,C0015
2025-11-23,P001,家電,15960,2,大阪,C0128
2025-08-11,P042,ファッション,23940,3,大阪,C0136
2025-01-22,P015,雑貨,15960,2,横浜,C0070
2025-01-24,P005,スポーツ,29400,3,東京,C0046
2025-06-11,P002,ファッション,1960,2,名古屋,C0193
2025-12-31,P026,ファッション,1280,1,札幌,C0042
2025-10-16,P016,ガジェット,24900,5,広島,C0174
2025-10-04,P022,美容,39200,4,名古屋,C0177
2025-02-10,P033,家電,3840,3,東京,C0026
2025-08-12,P015,雑貨,7980,1,仙台,C0155
2025-11-11,P039,雑貨,11920,4,仙台,C0008
2025-11-21,P018,ファッション,23920,4,横浜,C0059
2025-07-02,P036,書籍,9920,4,広島,C0048
2025-12-15,P038,美容,79200,4,大阪,C0198
2025-11-13,P019,食品,25600,2,大阪,C0022
2025-05-18,P010,ファッション,3920,4,名古屋,C0190
2025-07-19,P021,スポーツ,38400,3,大阪,C0024
2025-01-03,P020,書籍,3920,4,仙台,C0195
2025-05-19,P007,雑貨,39600,2,大阪,C0048
2025-08-09,P029,スポーツ,14900,5,広島,C0027
2025-01-14,P006,美容,23940,3,大阪,C0153
2025-11-03,P021,スポーツ,51200,4,東京,C0075
2025-07-31,P025,家電,12800,1,福岡,C0147
2025-09-24,P011,食品,7920,4,名古屋,C0036
2025-05-18,P020,書籍,2940,3,横浜,C0038
2025-02-02,P011,食品,7920,4,札幌,C0108
2025-06-03,P031,雑貨,980,1,仙台,C0065
2025-05-07,P047,雑貨,9920,4,福岡,C0118
2025-02-24,P009,家電,10440,3,東京,C0102
2025-06-20,P040,ガジェット,7920,4,仙台,C0113
2025-06-21,P028,書籍,14900,5,名古屋,C0077
2025-06-14,P039,雑貨,5960,2,横浜,C0081
2025-04-01,P026,ファッション,3840,3,札幌,C0189
2025-12-22,P041,家電,5120,4,福岡,C0084
2025-07-12,P018,ファッション,23920,4,仙台,C0030
2025-10-16,P013,スポーツ,4900,5,名古屋,C0175
2025-10-09,P002,ファッション,3920,4,福岡,C0113
2025-05-30,P045,スポーツ,1980,1,広島,C0173
2025-09-13,P009,家電,10440,3,福岡,C0065
2025-12-04,P010,ファッション,3920,4,広島,C0019
2025-08-18,P039,雑貨,11920,4,広島,C0137
2025-09-17,P045,スポーツ,7920,4,東京,C0093
2025-12-26,P035,食品,6400,5,大阪,C0028
2025-05-08,P043,食品,38400,3,名古屋,C0166
2025-11-10,P003,食品,12400,5,広島,C0193
2025-06-19,P028,書籍,2980,1,東京,C0026
2025-05-13,P015,雑貨,39900,5,福岡,C0115
2025-07-11,P026,ファッション,5120,4,名古屋,C0089
2025-01-13,P031,雑貨,980,1,札幌,C0107
2025-02-13,P008,ガジェット,2560,2,仙台,C0080
2025-06-25,P030,美容,4960,2,横浜,C0090
2025-09-01,P007,雑貨,79200,4,横浜,C0082
2025-02-04,P020,書籍,980,1,大阪,C0006
2025-06-25,P042,ファッション,7980,1,名古屋,C0190
2025-05-05,P034,ファッション,39600,2,名古屋,C0085
2025-10-14,P028,書籍,11920,4,福岡,C0104
2025-11-19,P012,書籍,9960,2,広島,C0102
2025-01-15,P048,ガジェット,39900,5,福岡,C0116
2025-10-31,P028,書籍,11920,4,東京,C0181
2025-04-20,P014,美容,5940,3,大阪,C0148
2025-02-22,P035,食品,2560,2,仙台,C0084
2025-04-11,P030,美容,2480,1,札幌,C0172
2025-09-08,P034,ファッション,59400,3,広島,C0157
2025-07-20,P038,美容,19800,1,仙台,C0091
2025-08-23,P040,ガジェット,3960,2,札幌,C0158
2025-10-30,P006,美容,15960,2,仙台,C0031
2025-05-03,P020,書籍,980,1,名古屋,C0096
2025-12-22,P010,ファッション,4900,5,広島,C0108
2025-11-02,P009,家電,17400,5,広島,C0109
2025-04-06,P032,ガジェット,19900,5,名古屋,C0143
2025-03-27,P032,ガジェット,11940,3,名古屋,C0048
2025-06-11,P029,スポーツ,14900,5,東京,C0092
2025-01-05,P032,ガジェット,7960,2,福岡,C0099
2025-10-15,P033,家電,5120,4,広島,C0176
2025-09-09,P027,食品,13920,4,横浜,C0043
2025-02-12,P037,スポーツ,7980,1,福岡,C0075
2025-01-17,P018,ファッション,11960,2,札幌,C0044
2025-08-23,P037,スポーツ,31920,4,大阪,C0147
2025-02-28,P018,ファッション,29900,5,仙台,C0139
2025-01-22,P049,家電,11920,4,福岡,C0109
2025-02-22,P048,ガジェット,15960,2,札幌,C0009
2025-08-19,P017,家電,5940,3,大阪,C0113
2025-03-02,P050,ファッション,5960,2,福岡,C0189
2025-10-29,P045,スポーツ,5940,3,広島,C0043
2025-11-12,P009,家電,6960,2,福岡,C0016
2025-10-19,P023,雑貨,14900,5,札幌,C0153
2025-10-03,P011,食品,5940,3,札幌,C0075
2025-10-21,P018,ファッション,29900,5,大阪,C0035
2025-07-30,P004,書籍,5940,3,名古屋,C0180
2025-03-09,P016,ガジェット,9960,2,仙台,C0064
2025-12-13,P026,ファッション,5120,4,名古屋,C0148
2025-11-20,P018,ファッション,23920,4,広島,C0116
2025-02-08,P041,家電,1280,1,広島,C0132
2025-05-23,P045,スポーツ,5940,3,横浜,C0125
2025-06-17,P038,美容,19800,1,大阪,C0188
2025-08-23,P041,家電,3840,3,大阪,C0137
2025-07-23,P014,美容,7920,4,福岡,C0127
2025-05-18,P021,スポーツ,38400,3,仙台,C0141
2025-10-23,P009,家電,17400,5,横浜,C0088
2025-12-16,P049,家電,2980,1,東京,C0026
2025-11-17,P030,美容,2480,1,大阪,C0041
2025-08-14,P030,美容,2480,1,広島,C0052
2025-12-19,P009,家電,10440,3,名古屋,C0071
2025-02-17,P042,ファッション,23940,3,札幌,C0022
2025-07-10,P043,食品,25600,2,東京,C0102
2025-11-17,P020,書籍,1960,2,広島,C0168
2025-02-16,P046,美容,1280,1,東京,C0055
2025-09-02,P005,スポーツ,19600,2,福岡,C0133
2025-12-15,P029,スポーツ,2980,1,東京,C0179
2025-06-25,P008,ガジェット,5120,4,名古屋,C0123
2025-02-06,P015,雑貨,31920,4,大阪,C0188
2025-02-22,P007,雑貨,59400,3,仙台,C0077
2025-03-12,P025,家電,25600,2,名古屋,C0018
2025-09-29,P037,スポーツ,7980,1,名古屋,C0113
2025-06-29,P047,雑貨,4960,2,名古屋,C0106
2025-11-12,P044,書籍,5120,4,福岡,C0023
2025-02-21,P009,家電,3480,1,広島,C0090
2025-08-08,P021,スポーツ,25600,2,福岡,C0071
2025-11-27,P006,美容,15960,2,札幌,C0200
2025-12-20,P002,ファッション,2940,3,福岡,C0133
2025-11-07,P033,家電,2560,2,広島,C0076
2025-11-27,P004,書籍,3960,2,横浜,C0099
2025-02-27,P016,ガジェット,19920,4,大阪,C0136
2025-01-07,P024,ガジェット,4740,3,名古屋,C0100
2025-10-19,P027,食品,10440,3,名古屋,C0196
2025-08-30,P050,ファッション,2980,1,東京,C0151
2025-02-04,P001,家電,23940,3,福岡,C0011
2025-01-31,P026,ファッション,6400,5,札幌,C0161
2025-12-31,P033,家電,5120,4,広島,C0180
2025-07-25,P006,美容,39900,5,名古屋,C0072
2025-02-12,P020,書籍,980,1,福岡,C0040
2025-10-02,P021,スポーツ,51200,4,大阪,C0080
2025-12-24,P028,書籍,5960,2,東京,C0063
2025-02-14,P028,書籍,2980,1,横浜,C0157
2025-11-08,P004,書籍,5940,3,名古屋,C0031
2025-01-07,P046,美容,2560,2,東京,C0042
2025-09-12,P023,雑貨,14900,5,札幌,C0043
2025-07-10,P009,家電,10440,3,大阪,C0198
2025-01-16,P022,美容,39200,4,札幌,C0135
2025-02-02,P017,家電,9900,5,大阪,C0128
2025-08-22,P033,家電,3840,3,東京,C0128
2025-10-18,P011,食品,5940,3,名古屋,C0066
2025-02-22,P037,スポーツ,7980,1,福岡,C0190
2025-09-18,P001,家電,7980,1,東京,C0063
2025-01-24,P031,雑貨,2940,3,広島,C0039
2025-04-02,P003,食品,12400,5,広島,C0058
2025-06-14,P016,ガジェット,19920,4,仙台,C0070
2025-02-09,P037,スポーツ,23940,3,大阪,C0129
2025-12-11,P004,書籍,3960,2,福岡,C0133
2025-01-24,P026,ファッション,1280,1,横浜,C0073
2025-06-09,P021,スポーツ,12800,1,横浜,C0003
2025-07-08,P013,スポーツ,2940,3,札幌,C0190
2025-11-15,P016,ガジェット,19920,4,仙台,C0152
2025-09-10,P050,ファッション,5960,2,福岡,C0039
2025-01-04,P027,食品,3480,1,福岡,C0139
2025-06-27,P041,家電,1280,1,仙台,C0001
2025-12-03,P025,家電,38400,3,大阪,C0053
2025-09-29,P016,ガジェット,19920,4,横浜,C0016
2025-03-14,P046,美容,3840,3,大阪,C0012
2025-04-29,P034,ファッション,79200,4,仙台,C0118
2025-02-13,P038,美容,19800,1,名古屋,C0164
2025-07-21,P005,スポーツ,49000,5,東京,C0112
2025-12-06,P009,家電,6960,2,札幌,C0067
2025-06-11,P026,ファッション,3840,3,仙台,C0116
2025-05-20,P015,雑貨,7980,1,福岡,C0035
2025-10-27,P007,雑貨,39600,2,大阪,C0043
2025-08-19,P030,美容,7440,3,広島,C0031
2025-10-02,P023,雑貨,5960,2,横浜,C0079
2025-08-26,P017,家電,1980,1,大阪,C0041
2025-12-18,P020,書籍,4900,5,東京,C0056
2025-06-17,P010,ファッション,980,1,福岡,C0092
2025-07-22,P033,家電,1280,1,札幌,C0067
2025-03-31,P002,ファッション,3920,4,横浜,C0143
2025-10-09,P016,ガジェット,4980,1,横浜,C0027
2025-03-13,P008,ガジェット,1280,1,東京,C0200
2025-04-24,P009,家電,6960,2,広島,C0096
