file,total,askq,oauth,restart,secret,install,namespace,score,grade,nonInteractiveMode,blockers
commands/lesson/start-3-2.md,17,17,0,0,0,0,0,0,D,,AskQuestion×17
commands/lesson/start-3-3.md,17,17,0,0,0,0,0,0,D,,AskQuestion×17
commands/lesson/start-3-4.md,20,20,0,0,0,0,0,0,D,,AskQuestion×20
commands/lesson/start-3-5.md,20,20,0,0,0,0,0,0,D,,AskQuestion×20
commands/lesson/start-3-6.md,20,20,0,0,0,0,0,0,D,,AskQuestion×20
commands/lesson/start-4-1.md,20,12,6,0,0,2,0,0,D,,AskQuestion×12; OAuth×6; Install×2
commands/lesson/start-4-4.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-4-7.md,14,14,0,0,0,0,0,0,D,,AskQuestion×14
commands/lesson/start-5-1.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-5-2.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-6-1.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-6-2.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-6-3.md,24,23,0,1,0,0,0,0,D,,AskQuestion×23; Restart×1
commands/lesson/start-6-4.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-6-5.md,26,26,0,0,0,0,0,0,D,,AskQuestion×26
commands/lesson/start-7-1.md,20,20,0,0,0,0,0,0,D,,AskQuestion×20
commands/lesson/start-7-2.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-7-3.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-7-4.md,26,26,0,0,0,0,0,0,D,,AskQuestion×26
commands/lesson/start-7-5.md,17,17,0,0,0,0,0,0,D,,AskQuestion×17
commands/lesson/start-7-6.md,17,16,0,1,0,0,0,0,D,,AskQuestion×16; Restart×1
commands/lesson/start-7-7.md,17,16,0,1,0,0,0,0,D,,AskQuestion×16; Restart×1
commands/lesson/start-7-8.md,16,16,0,0,0,0,0,0,D,,AskQuestion×16
commands/lesson/start-8-1.md,25,20,5,0,0,0,0,0,D,,AskQuestion×20; OAuth×5
commands/lesson/start-8-2.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-8-3.md,24,23,1,0,0,0,0,0,D,,AskQuestion×23; OAuth×1
commands/lesson/start-8-4.md,23,23,0,0,0,0,0,0,D,,AskQuestion×23
commands/lesson/start-9-1.md,24,21,3,0,0,0,0,0,D,,AskQuestion×21; OAuth×3
commands/lesson/start-9-2.md,23,21,2,0,0,0,0,0,D,,AskQuestion×21; OAuth×2
commands/lesson/start-9-3.md,24,21,3,0,0,0,0,0,D,,AskQuestion×21; OAuth×3
commands/lesson/start-10-4.md,13,9,4,0,0,0,0,4,D,,AskQuestion×9; OAuth×4
commands/lesson/start-14-1.md,12,12,0,0,0,0,0,4,D,,AskQuestion×12
commands/lesson/start-14-2.md,12,12,0,0,0,0,0,4,D,,AskQuestion×12
commands/lesson/start-14-3.md,12,12,0,0,0,0,0,4,D,,AskQuestion×12
commands/lesson/start-14-5.md,12,12,0,0,0,0,0,4,D,,AskQuestion×12
commands/lesson/start-14-6.md,12,12,0,0,0,0,0,4,D,,AskQuestion×12
commands/lesson/start-15-7.md,12,12,0,0,0,0,0,4,D,,AskQuestion×12
commands/lesson/start-4-2.md,12,12,0,0,0,0,0,4,D,,AskQuestion×12
commands/lesson/start-4-3.md,12,12,0,0,0,0,0,4,D,,AskQuestion×12
commands/lesson/start-4-5.md,12,12,0,0,0,0,0,4,D,,AskQuestion×12
commands/lesson/start-4-6.md,12,12,0,0,0,0,0,4,D,,AskQuestion×12
commands/lesson/setup-remotion.md,12,10,1,0,0,1,0,12,D,,AskQuestion×10; OAuth×1; Install×1
commands/lesson/start-0-7.md,14,8,2,0,0,3,1,13,D,,AskQuestion×8; OAuth×2; Install×3; Namespace×1
commands/lesson/start-15-5.md,10,10,0,0,0,0,0,20,D,,AskQuestion×10
commands/lesson/start-16-6.md,13,8,1,0,1,3,0,20,D,,AskQuestion×8; OAuth×1; Secret×1; Install×3
commands/lesson/start-11-3.md,10,9,1,0,0,0,0,22,D,,AskQuestion×9; OAuth×1
commands/lesson/start-11-4.md,12,9,0,0,0,3,0,22,D,,AskQuestion×9; Install×3
commands/lesson/start-11-5.md,10,9,0,0,0,1,0,26,D,,AskQuestion×9; Install×1
commands/lesson/start-16-2.md,10,8,1,0,1,0,0,26,D,,AskQuestion×8; OAuth×1; Secret×1
commands/lesson/start-16-7.md,12,6,1,0,5,0,0,26,D,,AskQuestion×6; OAuth×1; Secret×5
commands/lesson/start-18-20.md,9,9,0,0,0,0,0,28,D,,AskQuestion×9
commands/lesson/start-16-3.md,9,8,1,0,0,0,0,30,D,,AskQuestion×8; OAuth×1
commands/lesson/start-16-5.md,9,8,1,0,0,0,0,30,D,,AskQuestion×8; OAuth×1
commands/lesson/start-18-5.md,8,7,1,0,0,0,0,38,D,,AskQuestion×7; OAuth×1
commands/lesson/start-0-8.md,8,7,0,0,0,0,1,39,D,,AskQuestion×7; Namespace×1
commands/lesson/start-0-1.md,8,6,2,0,0,0,0,40,D,,AskQuestion×6; OAuth×2
commands/lesson/start-18-11.md,10,5,0,0,5,0,0,40,D,,AskQuestion×5; Secret×5
commands/lesson/start-16-4.md,7,6,1,0,0,0,0,46,D,,AskQuestion×6; OAuth×1
commands/lesson/start-16-8.md,7,6,1,0,0,0,0,46,D,,AskQuestion×6; OAuth×1
commands/lesson/start-18-13.md,7,5,2,0,0,0,0,48,D,,AskQuestion×5; OAuth×2
commands/lesson/start-18-9.md,7,4,3,0,0,0,0,50,C,,AskQuestion×4; OAuth×3
commands/lesson/start-0-2.md,5,4,0,1,0,0,0,53,C,,AskQuestion×4; Restart×1
commands/lesson/start-0-3.md,7,4,0,0,3,0,0,56,C,,AskQuestion×4; Secret×3
commands/module-18-gcp-quick.md,7,0,7,0,0,0,0,58,C,,OAuth×7
commands/lesson/start-18-19.md,5,5,0,0,0,0,0,60,C,,AskQuestion×5
commands/lesson/start-18-7.md,5,5,0,0,0,0,0,60,C,,AskQuestion×5
commands/lesson/start-18-8.md,5,5,0,0,0,0,0,60,C,,AskQuestion×5
commands/lesson/start-0-4.md,5,4,0,0,1,0,0,64,C,,AskQuestion×4; Secret×1
commands/lesson/start-0-5.md,5,4,0,0,1,0,0,64,C,,AskQuestion×4; Secret×1
commands/lesson/start-15-2.md,4,4,0,0,0,0,0,68,C,,AskQuestion×4
commands/lesson/start-18-10.md,4,4,0,0,0,0,0,68,C,,AskQuestion×4
commands/lesson/start-18-12.md,4,4,0,0,0,0,0,68,C,,AskQuestion×4
commands/lesson/start-18-14.md,4,4,0,0,0,0,0,68,C,,AskQuestion×4
commands/lesson/start-18-15.md,3,3,0,0,0,0,0,76,B,,AskQuestion×3
commands/lesson/start-18-16.md,3,3,0,0,0,0,0,76,B,,AskQuestion×3
commands/lesson/start-18-17.md,3,3,0,0,0,0,0,76,B,,AskQuestion×3
commands/lesson/start-18-18.md,3,3,0,0,0,0,0,76,B,,AskQuestion×3
commands/next_lesson.md,3,3,0,0,0,0,0,76,B,,AskQuestion×3
commands/lesson/start-0-6.md,7,0,0,0,3,4,0,80,B,,Secret×3; Install×4
commands/module-18-gcp-appendix.md,3,0,3,0,0,0,0,82,B,,OAuth×3
commands/lesson/start-15-4.md,2,2,0,0,0,0,0,84,B,,AskQuestion×2
commands/lesson/exercise-review.md,3,0,0,0,0,0,3,85,B,,Namespace×3
commands/setup-api-key.md,3,0,1,0,2,0,0,86,B,,OAuth×1; Secret×2
commands/module-18-google-auth.md,2,0,2,0,0,0,0,88,B,,OAuth×2
commands/lesson/verify-module.md,2,0,0,0,0,0,2,90,A,,Namespace×2
commands/lesson/start-15-3.md,3,0,0,0,0,3,0,94,A,,Install×3
commands/lesson/check-security.md,1,0,0,0,0,0,1,95,A,,Namespace×1
commands/lesson/start-18-6.md,0,0,0,0,0,0,0,100,A,,
commands/lesson/start-19-1.md,0,0,0,0,0,0,0,100,A,,
commands/lesson/start-20-1.md,0,0,0,0,0,0,0,100,A,,
commands/module-18-calendar.md,0,0,0,0,0,0,0,100,A,,
commands/module-18-drive.md,0,0,0,0,0,0,0,100,A,,
commands/module-18-gas.md,0,0,0,0,0,0,0,100,A,,
commands/module-18-gmail.md,0,0,0,0,0,0,0,100,A,,
commands/module-18-sheets.md,0,0,0,0,0,0,0,100,A,,
commands/verify-module.md,0,0,0,0,0,0,0,100,A,,
