file,total,askq,oauth,restart,secret,install,namespace,score,grade,nonInteractiveMode,blockers
commands/lesson/start-7-7.md,17,16,0,1,0,0,0,70,B,incompatible,AskQuestion×16; Restart×1; declared:incompatible
commands/lesson/start-8-1.md,25,20,5,0,0,0,0,70,B,incompatible,AskQuestion×20; OAuth×5; declared:incompatible
commands/lesson/start-8-3.md,24,23,1,0,0,0,0,70,B,incompatible,AskQuestion×23; OAuth×1; declared:incompatible
commands/lesson/start-9-1.md,24,21,3,0,0,0,0,70,B,incompatible,AskQuestion×21; OAuth×3; declared:incompatible
commands/lesson/start-9-2.md,23,21,2,0,0,0,0,70,B,incompatible,AskQuestion×21; OAuth×2; declared:incompatible
commands/lesson/start-9-3.md,24,21,3,0,0,0,0,70,B,incompatible,AskQuestion×21; OAuth×3; declared:incompatible
commands/module-18-gcp-quick.md,7,0,7,0,0,0,0,70,B,incompatible,OAuth×7; declared:incompatible
commands/module-4-gcp-quick.md,8,0,7,0,0,1,0,70,B,incompatible,OAuth×7; Install×1; declared:incompatible
commands/lesson/setup-discord.md,7,0,2,0,2,1,2,80,B,deferred,OAuth×2; Secret×2; Install×1; Namespace×2; declared:deferred
commands/lesson/setup-security.md,17,9,0,0,6,0,2,80,B,deferred,AskQuestion×9; Secret×6; Namespace×2; declared:deferred
commands/lesson/start-0-3.md,7,4,0,0,3,0,0,80,B,deferred,AskQuestion×4; Secret×3; declared:deferred
commands/lesson/start-0-4.md,5,4,0,0,1,0,0,80,B,deferred,AskQuestion×4; Secret×1; declared:deferred
commands/lesson/start-0-5.md,5,4,0,0,1,0,0,80,B,deferred,AskQuestion×4; Secret×1; declared:deferred
commands/lesson/start-0-8.md,8,7,0,0,0,0,1,80,B,deferred,AskQuestion×7; Namespace×1; declared:deferred
commands/lesson/start-1-1.md,17,17,0,0,0,0,0,80,B,deferred,AskQuestion×17; declared:deferred
commands/lesson/start-1-2.md,20,20,0,0,0,0,0,80,B,deferred,AskQuestion×20; declared:deferred
commands/lesson/start-1-3.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-10-2.md,28,23,5,0,0,0,0,80,B,deferred,AskQuestion×23; OAuth×5; declared:deferred
commands/lesson/start-10-3.md,27,26,1,0,0,0,0,80,B,deferred,AskQuestion×26; OAuth×1; declared:deferred
commands/lesson/start-10-4.md,13,9,4,0,0,0,0,80,B,deferred,AskQuestion×9; OAuth×4; declared:deferred
commands/lesson/start-11-1.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-11-4.md,12,9,0,0,0,3,0,80,B,deferred,AskQuestion×9; Install×3; declared:deferred
commands/lesson/start-11-5.md,10,9,0,0,0,1,0,80,B,deferred,AskQuestion×9; Install×1; declared:deferred
commands/lesson/start-12-2.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-12-3.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-12-4.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-12-5.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-13-1.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-13-3.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-14-1.md,12,12,0,0,0,0,0,80,B,deferred,AskQuestion×12; declared:deferred
commands/lesson/start-14-2.md,12,12,0,0,0,0,0,80,B,deferred,AskQuestion×12; declared:deferred
commands/lesson/start-14-3.md,12,12,0,0,0,0,0,80,B,deferred,AskQuestion×12; declared:deferred
commands/lesson/start-14-4.md,14,14,0,0,0,0,0,80,B,deferred,AskQuestion×14; declared:deferred
commands/lesson/start-14-5.md,12,12,0,0,0,0,0,80,B,deferred,AskQuestion×12; declared:deferred
commands/lesson/start-14-6.md,12,12,0,0,0,0,0,80,B,deferred,AskQuestion×12; declared:deferred
commands/lesson/start-14-7.md,14,14,0,0,0,0,0,80,B,deferred,AskQuestion×14; declared:deferred
commands/lesson/start-15-1.md,27,26,0,0,0,1,0,80,B,deferred,AskQuestion×26; Install×1; declared:deferred
commands/lesson/start-15-2.md,4,4,0,0,0,0,0,80,B,deferred,AskQuestion×4; declared:deferred
commands/lesson/start-15-5.md,10,10,0,0,0,0,0,80,B,deferred,AskQuestion×10; declared:deferred
commands/lesson/start-15-6.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-15-7.md,12,12,0,0,0,0,0,80,B,deferred,AskQuestion×12; declared:deferred
commands/lesson/start-15-8.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-15-9.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-17-1.md,17,17,0,0,0,0,0,80,B,deferred,AskQuestion×17; declared:deferred
commands/lesson/start-17-2.md,17,17,0,0,0,0,0,80,B,deferred,AskQuestion×17; declared:deferred
commands/lesson/start-17-3.md,17,17,0,0,0,0,0,80,B,deferred,AskQuestion×17; declared:deferred
commands/lesson/start-17-5.md,25,23,0,0,2,0,0,80,B,deferred,AskQuestion×23; Secret×2; declared:deferred
commands/lesson/start-18-1.md,14,14,0,0,0,0,0,80,B,deferred,AskQuestion×14; declared:deferred
commands/lesson/start-18-10.md,4,4,0,0,0,0,0,80,B,deferred,AskQuestion×4; declared:deferred
commands/lesson/start-18-11.md,10,5,0,0,5,0,0,80,B,deferred,AskQuestion×5; Secret×5; declared:deferred
commands/lesson/start-18-12.md,4,4,0,0,0,0,0,80,B,deferred,AskQuestion×4; declared:deferred
commands/lesson/start-18-14.md,4,4,0,0,0,0,0,80,B,deferred,AskQuestion×4; declared:deferred
commands/lesson/start-18-15.md,3,3,0,0,0,0,0,80,B,deferred,AskQuestion×3; declared:deferred
commands/lesson/start-18-16.md,3,3,0,0,0,0,0,80,B,deferred,AskQuestion×3; declared:deferred
commands/lesson/start-18-17.md,3,3,0,0,0,0,0,80,B,deferred,AskQuestion×3; declared:deferred
commands/lesson/start-18-18.md,3,3,0,0,0,0,0,80,B,deferred,AskQuestion×3; declared:deferred
commands/lesson/start-18-19.md,5,5,0,0,0,0,0,80,B,deferred,AskQuestion×5; declared:deferred
commands/lesson/start-18-2.md,18,18,0,0,0,0,0,80,B,deferred,AskQuestion×18; declared:deferred
commands/lesson/start-18-20.md,9,9,0,0,0,0,0,80,B,deferred,AskQuestion×9; declared:deferred
commands/lesson/start-18-3.md,18,18,0,0,0,0,0,80,B,deferred,AskQuestion×18; declared:deferred
commands/lesson/start-18-7.md,5,5,0,0,0,0,0,80,B,deferred,AskQuestion×5; declared:deferred
commands/lesson/start-18-8.md,5,5,0,0,0,0,0,80,B,deferred,AskQuestion×5; declared:deferred
commands/lesson/start-2-1.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-2-2.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-2-3.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-3-1.md,17,17,0,0,0,0,0,80,B,deferred,AskQuestion×17; declared:deferred
commands/lesson/start-3-2.md,17,17,0,0,0,0,0,80,B,deferred,AskQuestion×17; declared:deferred
commands/lesson/start-3-3.md,17,17,0,0,0,0,0,80,B,deferred,AskQuestion×17; declared:deferred
commands/lesson/start-3-4.md,20,20,0,0,0,0,0,80,B,deferred,AskQuestion×20; declared:deferred
commands/lesson/start-3-5.md,20,20,0,0,0,0,0,80,B,deferred,AskQuestion×20; declared:deferred
commands/lesson/start-3-6.md,20,20,0,0,0,0,0,80,B,deferred,AskQuestion×20; declared:deferred
commands/lesson/start-4-2.md,12,12,0,0,0,0,0,80,B,deferred,AskQuestion×12; declared:deferred
commands/lesson/start-4-3.md,12,12,0,0,0,0,0,80,B,deferred,AskQuestion×12; declared:deferred
commands/lesson/start-4-4.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-4-5.md,12,12,0,0,0,0,0,80,B,deferred,AskQuestion×12; declared:deferred
commands/lesson/start-4-6.md,12,12,0,0,0,0,0,80,B,deferred,AskQuestion×12; declared:deferred
commands/lesson/start-4-7.md,14,14,0,0,0,0,0,80,B,deferred,AskQuestion×14; declared:deferred
commands/lesson/start-5-1.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-5-2.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-6-1.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-6-2.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-6-4.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-6-5.md,26,26,0,0,0,0,0,80,B,deferred,AskQuestion×26; declared:deferred
commands/lesson/start-7-1.md,20,20,0,0,0,0,0,80,B,deferred,AskQuestion×20; declared:deferred
commands/lesson/start-7-2.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-7-3.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-7-4.md,26,26,0,0,0,0,0,80,B,deferred,AskQuestion×26; declared:deferred
commands/lesson/start-7-5.md,17,17,0,0,0,0,0,80,B,deferred,AskQuestion×17; declared:deferred
commands/lesson/start-7-8.md,16,16,0,0,0,0,0,80,B,deferred,AskQuestion×16; declared:deferred
commands/lesson/start-8-2.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/lesson/start-8-4.md,23,23,0,0,0,0,0,80,B,deferred,AskQuestion×23; declared:deferred
commands/next_lesson.md,3,3,0,0,0,0,0,80,B,deferred,AskQuestion×3; declared:deferred
commands/module-18-gcp-appendix.md,3,0,3,0,0,0,0,82,B,incompatible,OAuth×3; declared:incompatible
commands/module-4-gcp-appendix.md,3,0,3,0,0,0,0,82,B,incompatible,OAuth×3; declared:incompatible
commands/check-setup.md,2,2,0,0,0,0,0,84,B,deferred,AskQuestion×2; declared:deferred
commands/lesson/start-15-4.md,2,2,0,0,0,0,0,84,B,deferred,AskQuestion×2; declared:deferred
commands/setup-api-key.md,3,0,1,0,2,0,0,86,B,incompatible,OAuth×1; Secret×2; declared:incompatible
commands/setup-api-key.md,3,0,1,0,2,0,0,86,B,incompatible,OAuth×1; Secret×2; declared:incompatible
commands/module-18-google-auth.md,2,0,2,0,0,0,0,88,B,incompatible,OAuth×2; declared:incompatible
commands/module-4-google-auth.md,2,0,2,0,0,0,0,88,B,incompatible,OAuth×2; declared:incompatible
commands/_lib/non-interactive.md,16,4,10,2,0,0,0,90,A,compliant,AskQuestion×4; OAuth×10; Restart×2; declared:compliant
commands/lesson/exercise-review.md,3,0,0,0,0,0,3,90,A,compliant,Namespace×3; declared:compliant
commands/lesson/start-0-6.md,7,0,0,0,3,4,0,90,A,compliant,Secret×3; Install×4; declared:compliant
commands/lesson/verify-module.md,2,0,0,0,0,0,2,90,A,compliant,Namespace×2; declared:compliant
commands/lesson/start-15-3.md,3,0,0,0,0,3,0,94,A,compliant,Install×3; declared:compliant
commands/lesson/check-security.md,1,0,0,0,0,0,1,95,A,compliant,Namespace×1; declared:compliant
commands/start-8-1.md,1,0,0,0,0,1,0,98,A,compliant,Install×1; declared:compliant
commands/codex-review.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/lesson/start-18-6.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/lesson/start-19-1.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/lesson/start-20-1.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-18-calendar.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-18-drive.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-18-gas.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-18-gmail.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-18-sheets.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-4-calendar.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-4-drive.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-4-gas.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-4-gmail.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-4-sheets.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-5-pptx-analyzer.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-5-pptx-converter.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/module-5-pptx-creator.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/run-e2e.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/split-component.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/start-13-3.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/start-8-2.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/start-8-3.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/start-8-4.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/start-8-5.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
commands/verify-module.md,0,0,0,0,0,0,0,100,A,compliant,declared:compliant
